,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
54,228568,934821,Downtown Core,North St.James Town,43.66771,-79.37679,Entire home/apt,400,3,55,2018-09-11,0.57,2,0,2018,9,11
55,229913,1200620,West End,Niagara,43.63479,-79.39957,Entire home/apt,325,5,10,2017-08-26,0.13,1,365,2017,8,26
56,230775,706457,East End,Bay Street Corridor,43.66993,-79.38742,Private room,121,7,39,2019-09-01,0.39,1,365,2019,9,1
58,232794,1218097,Downtown Core,Annex,43.67108,-79.39038,Entire home/apt,265,4,4,2016-05-06,0.05,1,166,2016,5,6
59,234500,1203746,East End,South Riverdale,43.65766,-79.33866,Entire home/apt,140,1,97,2019-12-04,5.6,1,161,2019,12,4
60,239449,349772,Downtown Core,Annex,43.66763,-79.40683,Entire home/apt,95,30,23,2019-11-11,0.29,1,105,2019,11,11
61,248941,1304211,York,Caledonia-Fairbank,43.68219,-79.45995,Private room,38,5,14,2019-01-02,0.15,1,89,2019,1,2
62,260645,1367540,Downtown Core,Moss Park,43.6549,-79.37104,Private room,70,1,147,2019-09-15,1.51,6,294,2019,9,15
63,261235,1367540,Downtown Core,Moss Park,43.65627,-79.37116,Private room,65,1,72,2019-10-27,0.73,6,287,2019,10,27
64,264319,1367540,Downtown Core,Moss Park,43.65551,-79.37133,Private room,65,1,104,2019-11-24,1.08,6,262,2019,11,24
65,266300,1396237,West End,Niagara,43.64047,-79.41491,Entire home/apt,105,30,5,2019-06-11,0.17,1,364,2019,6,11
66,268403,1311843,West End,Roncesvalles,43.64463,-79.44353,Entire home/apt,140,7,7,2018-09-07,0.13,1,365,2018,9,7
68,269017,1367540,Downtown Core,Moss Park,43.65653,-79.37127,Private room,54,1,113,2019-10-14,1.16,6,331,2019,10,14
70,270330,1415439,Downtown Core,Waterfront Communities-The Island,43.64248,-79.37502,Entire home/apt,190,180,79,2017-09-04,0.82,3,0,2017,9,4
72,273500,1430894,West End,Palmerston-Little Italy,43.66023,-79.40935,Entire home/apt,252,2,109,2019-09-08,4.1,10,25,2019,9,8
