id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.64551,-79.39274,Entire home/apt,121,6,7,2015-06-28,0.07,1,161
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64835,-79.36302,Private room,80,3,26,2019-11-18,0.25,1,312
149420,Bloor West Village 1 Bedroom ,666759,Jeannie,,High Park-Swansea,43.64618,-79.48833,Entire home/apt,80,4,33,2019-11-27,0.37,1,207
153000,"1,100SqFt. 2B+Den Spacious Green Condo",735795,Raj,,Waterfront Communities-The Island,43.64366,-79.39155,Entire home/apt,199,3,51,2019-08-04,0.50,1,341
179217,Experience Downsview Park,857989,Charlene,,Downsview-Roding-CFB,43.74098,-79.48724,Private room,80,2,16,2019-08-05,0.25,1,338
179578,Furnished 1+1 bed Condo Apartment,545074,Sohail,,Woburn,43.78076,-79.24788,Entire home/apt,80,2,0,,,2,0
182573,Sunlit Separate Entrance Apartment,591649,Melissa,,Humewood-Cedarvale,43.68683,-79.42274,Entire home/apt,80,5,23,2019-09-11,0.24,2,32
183522,Beaches House,880070,John,,The Beaches,43.67254,-79.30023,Entire home/apt,180,120,9,2012-07-22,0.09,1,251
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,,Church-Yonge Corridor,43.66932,-79.38525,Entire home/apt,199,90,60,2019-09-01,0.59,1,0
192335,Studio Loft- 2 flr- Liberty Village,140602,Mario,,South Parkdale,43.63895,-79.42246,Entire home/apt,235,2,54,2019-08-11,0.54,1,15
192860,"Modern, Clean & Quiet 2bd @ High Park",533496,Paul,,Junction Area,43.66597,-79.47388,Entire home/apt,115,3,106,2019-11-11,1.06,2,223
196584,1 Bedroom Apt on Bloor-Danforth subway line!,957466,Karen,,Oakridge,43.69447,-79.28794,Entire home/apt,80,7,15,2019-11-30,0.37,1,191
202636,downtwn home full gym quiet st. BBQ,992557,Richard And Amita,,Wychwood,43.6754,-79.42062,Entire home/apt,199,6,21,2016-08-13,0.21,2,359
206529,Simplicity-Quiet Room in a House in the Kingsway,1015926,Grant,,Stonegate-Queensway,43.63978,-79.50473,Private room,68,1,27,2019-10-31,0.29,2,338
